t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,soc_est,v_pred,v_resid,r_used_ohm,i_mean_60s,t_rem_min_dis
7282931,3.80838,3.8193,3.7999,50.166,0.4985999999999998,DISCH,49.68164,7281.917,1.0020000000004077,1.8988578260000009,0.7155359089797447,3.8080491895964497,0.0003308104035504,0.06,0.4997446666666664,283.49699242010826
7283933,3.80846,3.8218,3.7958,50.0312,0.4979799999999997,DISCH,49.678160000000005,7282.919,1.001999999999498,1.8965344860000009,0.7155070565157764,3.808033020916212,0.0004269790837883,0.06,0.49972966666666635,283.4940701741885
7284930,3.809,3.8216,3.7973,49.9866,0.4998399999999998,DISCH,49.68058,7283.916,0.9970000000002984,1.9038893760000009,0.715499811396135,3.807873109998032,0.0011268900019678,0.06,0.49973299999999976,283.48930860366397
7285945,3.80884,3.8202,3.7973,49.8269,0.4996599999999997,DISCH,49.67088,7284.931,1.014999999999418,1.9031240280000008,0.7154869771210017,3.807870511503032,0.0009694884969677,0.06,0.49971699999999974,283.4933001478005
7286945,3.80888,3.8202,3.7971,50.3318,0.5008799999999998,DISCH,49.67614,7285.931,1.0,1.9077895440000008,0.7154787927721786,3.8077766677712814,0.0011033322287175,0.06,0.4997393333333331,283.47738814947144
7287942,3.8093,3.8232,3.7978,50.1248,0.5023799999999998,DISCH,49.6935,7286.928,0.9970000000002984,1.9137130260000008,0.7154867373128782,3.807672939351889,0.0016270606481105,0.06,0.4997703333333331,283.46295195849945
7288940,3.8083,3.822,3.7965,50.4991,0.5038199999999998,DISCH,49.68998,7287.926,0.998000000000502,1.9186982180000005,0.7154659821812533,3.807599592627794,0.0007004073722058,0.06,0.49984799999999974,283.4106857922573
7289929,3.80732,3.8197,3.7991,50.7592,0.5043999999999998,DISCH,49.7013,7288.915,0.988999999999578,1.9204139120000008,0.7154175078604603,3.807530534713223,-0.000210534713223,0.06,0.4999506666666664,283.3332886638906
7290922,3.80782,3.8176,3.8002,50.3643,0.5041999999999998,DISCH,49.7128,7289.908,0.9930000000003928,1.9199021420000009,0.7153864205225329,3.807460961106527,0.0003590388934733,0.06,0.5000629999999997,283.2573321030782
7291915,3.8078,3.8212,3.799,50.5164,0.5031999999999999,DISCH,49.72348,7290.901,0.9929999999994834,1.9160843200000008,0.7153545547987219,3.8074689516212783,0.0003310483787215,0.06,0.5001549999999998,283.1926139899571
